,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon
802,Mazurska,Mazurska,1.0,Gdańsk,54.40851,18.63222
803,3 Maja,Sopot 3 Maja,2.0,Sopot,54.43381,18.56153
804,Smolna,Sopot Smolna (N/Ż),2.0,Sopot,54.42833,18.5623
805,Krasickiego,Krasickiego,1.0,Gdańsk,54.40618,18.64421
806,Kasztanowa,Sopot Kasztanowa,2.0,Sopot,54.42479,18.56368
807,Latarnia Morska,Latarnia Morska,1.0,Gdańsk,54.40467,18.65579
808,Kasztanowa,Kasztanowa,1.0,Gdańsk,54.40396,18.66133
809,,Nasypowa,,,54.54568,18.52221
810,Na Zaspę,Na Zaspę,1.0,Gdańsk,54.40177,18.66475
811,Rybołowców,Rybołowców,1.0,Gdańsk,54.40271,18.6655
812,"Hotel ""Marina""","Sopot Hotel ""Marina""",2.0,Sopot,54.42958,18.58788
813,Przychodnia,Przychodnia,1.0,Gdańsk,54.40224,18.66967
814,Hestii,Sopot Hestii,2.0,Sopot,54.43195,18.58347
815,Polna,Sopot Polna,2.0,Sopot,54.43412,18.57981
816,Bitwy pod Płowcami,Sopot Bitwy Pod Płowcami,2.0,Sopot,54.43832,18.57258
817,Władysława IV,Sopot Władysława IV,2.0,Sopot,54.43599,18.56746
818,"Sanatorium ""Leśnik""","Sopot Sanatorium ""Leśnik""",2.0,Sopot,54.44926,18.52722
819,,Stocznia Wojenna,,,54.5425,18.53575
820,Bitwy pod Płowcami,Sopot Bitwy pod Płowcami,2.0,Sopot,54.43773,18.57394
821,Pohulanka,Pohulanka ,1.0,Gdańsk,54.34869,18.63653
822,,Korty Tenisowe,,,54.45027,18.56479
823,Kamienny Potok SKM,Sopot Kamienny Potok SKM,2.0,Sopot,54.45847,18.55454
824,Odrzańska,Odrzańska,1.0,Gdańsk,54.34541,18.62578
825,Wejherowska,Sopot Wejherowska,2.0,Sopot,54.45307,18.55517
826,Malczewskiego,Sopot Malczewskiego,2.0,Sopot,54.44946,18.55535
827,,Akademia Marynarki Wojennej,,,54.54271,18.54358
828,Wybickiego,Sopot Wybickiego,2.0,Sopot,54.43735,18.55738
829,Kochanowskiego,Sopot Kochanowskiego,2.0,Sopot,54.4342,18.55896
830,Młyńska,Sopot Młyńska (N/Ż),2.0,Sopot,54.45471,18.55985
831,Plac Kusocińskiego,Sopot Plac Kusocińskiego (N/Ż),2.0,Sopot,54.4528,18.56311
832,Korty Tenisowe,Sopot Korty Tenisowe (N/Ż),2.0,Sopot,54.4502,18.56487
833,Grand Hotel,Sopot Grand Hotel,2.0,Sopot,54.44644,18.56782
834,,Dolny Sopot - Haffnera,,,54.44959,18.56261
835,Chopina,Sopot Chopina,2.0,Sopot,54.44217,18.57124
836,Cebertowicza,Cebertowicza ,1.0,Gdańsk,54.33844,18.60505
837,Grunwaldzka,Sopot Grunwaldzka,2.0,Sopot,54.4392,18.57379
838,,Oksywie Dolne,,,54.54284,18.54705
839,23 Marca,Sopot 23 Marca,2.0,Sopot,54.44816,18.54375
840,Focha,Focha (N/Ż),1.0,Gdańsk,54.35868,18.62449
841,,Arciszewskich,,,54.54541,18.5507
842,Sopot PKP - Marynarzy,Sopot PKP Marynarzy,2.0,Sopot,54.43929,18.56424
843,Dolne Miasto,Dolne Miasto,1.0,Gdańsk,54.34317,18.66148
844,,Mały Kack Sandomierska,,,54.4867,18.5283
846,Jasieńska,Jasieńska,1.0,Gdańsk,54.34946,18.55247
