,stopName,stopDesc,zoneId,zoneName,stopLat,stopLon,coord,time_sec,color
499,Sobieszewska Pastwa 2,Sobieszewska Pastwa 2 (N/Ż),1.0,Gdańsk,54.31258,18.87351,"54.31258, 18.87351",5460,black
425,Srebrna,Srebrna,1.0,Gdańsk,54.31282,18.59647,"54.31282, 18.59647",3240,red
496,Przegalińska - Schronisko,Przegalińska - Schronisko (N/Ż),1.0,Gdańsk,54.3139,18.91137,"54.3139, 18.91137",5512,black
469,Knyszyńska,Knyszyńska,1.0,Gdańsk,54.31391,18.60327,"54.31391, 18.60327",3300,red
468,Szmaragdowa,Szmaragdowa,1.0,Gdańsk,54.31462,18.60027,"54.31462, 18.60027",3513,red
443,Liliowa,Liliowa,1.0,Gdańsk,54.31549,18.59097,"54.31549, 18.59097",3344,red
497,Dulkowa,Dulkowa (N/Ż),1.0,Gdańsk,54.3157,18.90229,"54.3157, 18.90229",5963,black
498,Komary,Komary (N/Ż),1.0,Gdańsk,54.31571,18.894,"54.31571, 18.894",5671,black
406,Modra I,Modra I (N/Ż),1.0,Gdańsk,54.31609,18.68543,"54.31609, 18.68543",3420,red
494,Porębskiego,Porębskiego,1.0,Gdańsk,54.31765,18.58237,"54.31765, 18.58237",3608,black
439,Wieżycka,Wieżycka,1.0,Gdańsk,54.3181,18.5868,"54.3181, 18.5868",3300,red
405,Łanowa IV,Łanowa IV (N/Ż),1.0,Gdańsk,54.31908000000001,18.68102,"54.31908000000001, 18.68102",3360,red
407,Modra II,Modra II (N/Ż),1.0,Gdańsk,54.32114,18.69353,"54.32114, 18.69353",3540,red
404,Łanowa III,Łanowa III (N/Ż),1.0,Gdańsk,54.32231,18.67724,"54.32231, 18.67724",3971,black
467,Czermińskiego,Czermińskiego,1.0,Gdańsk,54.32241,18.55242,"54.32241, 18.55242",3031,red
483,Zakład Utylizacyjny,Zakład Utylizacyjny,1.0,Gdańsk,54.3229,18.54067,"54.3229, 18.54067",3395,red
445,Szadółki Obwodnica,Szadółki Obwodnica (N/Ż),1.0,Gdańsk,54.32297,18.542820000000006,"54.32297, 18.542820000000006",3287,red
420,Świętokrzyska,Świętokrzyska (N/Ż),1.0,Gdańsk,54.32436,18.60387,"54.32436, 18.60387",2942,red
408,Modra III,Modra III (N/Ż),1.0,Gdańsk,54.32636,18.68749,"54.32636, 18.68749",4243,black
435,Głucha,Głucha,1.0,Gdańsk,54.32782,18.64123,"54.32782, 18.64123",3578,red
446,Lubowidzka,Lubowidzka (N/Ż),1.0,Gdańsk,54.32798,18.538120000000006,"54.32798, 18.538120000000006",3818,black
403,Łanowa I,Łanowa I (N/Ż),1.0,Gdańsk,54.32825,18.67029,"54.32825, 18.67029",4319,black
